clade	relative
Y1	B/Florida/4/2006 like
Y2	B/Massachussets/02/2012 like
Y3	B/Phuket/3073/2013 like

V1A	B/Brisbane/60/2008 like
V1B	B/Sydney/508/2010 like
V1A.1	B/Colorado/07/2017 like
V1A.2	B/Hong Hong/269/2017 like
V1A.3	B/Washington/02/2019 like
V1A.3+126K	B/Victoria/15/2020 like
V1A.3+128K	B/Canberra/3/2020 like
V1A.3+129N	B/South Africa/3623/2020 like
V1A.3+150K	B/Victoria/2110/2019 like

6b	A/New Caledonia/58/2014 like
6b1	A/Michigan/45/2015 like
6b1.A	A/Brisbane/37/2017 like
6b1.A/183P-1	A/Brisbane/02/2018 like
6b1.A/183P-2	A/Townsville/21/2018 like
6b1.A/183P-3	A/Mexico/2549/2018 like
6b1.A/183P-4	A/Perth/183/2018 like
6b1.A/183P-5	A/Darwin/6/2018 like
6b1.A/183P-6	A/Newcastle/77/2018 like
6b1.A/183P-7	A/Indiana/30/2018 like
6b1.A/183P-5a	A/Darwin/6/2018 like
6b1.A/183P-5b	A/Canberra/337/2019 like
6b1.A/156K	A/Victoria/2570/2019 like
6b1.A/187A	A/Guangdong-Maonan/SWL1536/2019 like
6b1.A/156K+195E	A/QATAR/16-VI-19-0049409/2019

3C	A/South Australia/34/2019 like
3C.3	A/Kansas/14/2017 like
3C.3a	A/Kansas/14/2017 like
3C.2a1	A/Alaska/232/2015 like
3C.2a1a	A/Kalamata/540/2017 like
3C.2a1b+131K	 A/South_Australia/34/2019 like
3C.2a1b+135K	A/Fiji/71/2017 like
3C.2a1b+135N	A/Philippines/13/2017 like
3C.2a2	A/Switzerland/8060/2017 like
3C.2a3	A/Singapore/TT1374/2016 like
3C.2a4	A/Auckland/500/2017 like
A1b/197R	A/Victoria/223/2019 like
A1b/137F	A/Hong Kong/2671/2019 like
A1b/186D	A/Perth/20/2020 like
A1b/94N	A/Qatar/16-VI-19-0049409/2019 like
A1b/94N+186S	A/Tasmania/503/2020 like
